buller2,ind_weight,ind_month,ind_season,treatment_protocol
0,440,2021-01,Summer,AB11
0,434,2021-01,Summer,AB11
1,409,2021-01,Summer,AB11
1,427,2021-01,Summer,ANA10
0,409,2021-01,Summer,AB11
0,402,2021-01,Summer,AB11
0,422,2021-01,Summer,AB11
0,397,2021-01,Summer,AB11
0,435,2021-01,Summer,AB11
1,435,2021-01,Summer,AB11
1,404,2021-01,Summer,AB11
0,400,2021-01,Summer,AB11
1,429,2021-01,Summer,AB11
0,417,2021-01,Summer,AB11
1,416,2021-01,Summer,AB11
0,397,2021-01,Summer,AB11
0,426,2021-01,Summer,AB11
1,440,2021-01,Summer,AB11
0,411,2021-01,Summer,AB11
0,432,2021-01,Summer,AB11
1,438,2021-01,Summer,AB11
0,386,2021-01,Summer,AB11
1,427,2021-01,Summer,AB11
1,469,2021-01,Summer,AB11
0,373,2021-01,Summer,AB11
0,394,2021-01,Summer,AB11
0,414,2021-01,Summer,AB11
1,358,2021-01,Summer,ANA10
0,393,2021-01,Summer,AB11
1,420,2021-01,Summer,ANA10
0,433,2021-01,Summer,AB11
1,395,2021-01,Summer,AB11
0,449,2021-01,Summer,AB11
1,428,2021-01,Summer,AB11
1,420,2021-01,Summer,AB11
0,409,2021-01,Summer,AB11
0,443,2021-01,Summer,AB11
0,440,2021-01,Summer,AB11
0,422,2021-01,Summer,AB11
1,435,2021-01,Summer,ANA10
0,410,2021-01,Summer,AB11
0,418,2021-01,Summer,AB11
0,436,2021-01,Summer,AB11
1,400,2021-01,Summer,ANA10
0,441,2021-01,Summer,AB11
0,378,2021-01,Summer,AB11
1,407,2021-01,Summer,ANA10
1,424,2021-01,Summer,ANA10
0,375,2021-01,Summer,AB11
1,407,2021-01,Summer,ANA10
1,420,2021-01,Summer,ANA10
0,420,2021-01,Summer,ANA10
1,334,2021-01,Summer,ANA10
1,330,2021-01,Summer,AB11
0,350,2021-01,Summer,AB11
0,430,2021-01,Summer,AB11
1,412,2021-01,Summer,AB11
1,415,2021-01,Summer,ANA10
0,349,2021-01,Summer,AB11
0,465,2021-01,Summer,AB11
1,409,2021-01,Summer,AB11
1,441,2021-01,Summer,AB11
0,435,2021-01,Summer,AB11
